name,affiliation,region,country,iso2
Al Mouayed Bellah Nafeh,GEM Foundation,Global,,
Alejandro Calderon,GEM Foundation,Latin America and the Caribbean,,
Alen Kadić,Croatian Centre for Earthquake Engineering,Europe and Central Asia,Croatia,HR
Ali Atici,University College London,Europe and Central Asia,Türkiye,TR
Ali Esfandiari,,Middle East and North Africa,Iran,IR
Anirudh Rao,GEM Foundation,Global,,
Brendon Bradley,University of Canterbury,East Asia and Pacific,New Zealand,NZ
Caleb Dunne,Natural Hazards Commission,East Asia and Pacific,New Zealand,NZ
Caroline Orchiston,University of Otago,East Asia and Pacific,New Zealand,NZ
Catarina Costa,GEM Foundation,Global,,
Chris Fairless,UNU-EHS,Global,,
Chung-Han Chan,National Central University (NCU),East Asia and Pacific,Taiwan,TW
Daniela Di Bucci,Dipartimento della Protezione Civile (DPC),Europe and Central Asia,Italy,IT
Diego Nicolas Valdivieso Cascante,Pontificia Universidad Católica de Chile (UC),Latin America and the Caribbean,Chile,CL
Eleonora Panizza,UniGe; CIMA Foundation,Sub-Saharan Africa,Mozambique,MZ
Enes Veliu,,Europe and Central Asia,Albania,AL
Finn Scheele,Earth Sciences New Zealand,East Asia and Pacific,New Zealand,NZ
Furkan Narlitepe,IUSS Pavia,Europe and Central Asia,Türkiye,TR
Geoffrey Spurr,Natural Hazards Commission,East Asia and Pacific,New Zealand,NZ
Innocent Maholi,OpenMap Development Tanzania,Sub-Saharan Africa,Tanzania,TZ
Ioanna Triantafyllou ,Hellenic Mediterranean University,Europe and Central Asia,Greece,GR
Jia-Sheng Hung,National Central University (NCU),East Asia and Pacific,Taiwan,TW
Jose Gil,,Latin America and the Caribbean,Guatemala,GT
Josip Atalić ,University of Zagreb,Europe and Central Asia,Croatia,HR
Justin Ginnetti,IFRC,Global,,
Lana Todorovic,GEM Foundation,Global,,
Luis Mixco,Ministerio de Medio Ambiento y Recursos Naturales,Latin America and the Caribbean,El Salvador,SV
Magdalena Peters,UNU-EHS,Global,,
Marta Šavor Novak ,University of Zagreb,Europe and Central Asia,Croatia,HR
Marzia Santini,Joint Research Centre (JRC),Global,,
Matias Hube,Pontificia Universidad Católica de Chile (UC),Latin America and the Caribbean,Chile,CL
Maxime Souvignet,UNU-EHS,Global,,
Mohamed El Hilali,,Middle East and North Africa,Morocco,MA
Mouloud Hamidatou,"Research Center in Astronomy, Astrophysics and Geophysics",Middle East and North Africa,Algeria,DZ
Natasha Beale,The Asia Foundation,South Asia,Nepal,NP
Nick Horspool,Earth Sciences New Zealand,East Asia and Pacific,New Zealand,NZ
Nicola Tarque ,Universidad Politécnica de Madrid,Latin America and the Caribbean,Peru,PE
Pablo Quinde,Universidad del Azuay,Latin America and the Caribbean,Ecuador,EC
Pouria Kourehpaz,University College London; First Street Foundation,Europe and Central Asia,Türkiye,TR
Rashid Rehan,University of Engineering & Technology Peshawar,South Asia,Pakistan,PK
Rikki Weber,Geoscience Australia,East Asia and Pacific,Indonesia,ID
Rob Oakes,UNU-EHS,Global,,
Rosa Marina Rodríguez Marín,CENAPRED,Latin America and the Caribbean,Mexico,MX
Salvador Ramos,University of Aveiro,Latin America and the Caribbean,Mexico,MX
Sandra Cecilia Santa Cruz Hidalgo ,Pontificia Universidad Catolica del Peru,Latin America and the Caribbean,Peru,PE
Sebastien Biasse,University of Geneva,Global,,
Sonali Manimaran,Nanyang Technological University,East Asia and Pacific,Philippines,PH
Sonia Sorto,Dirección General de Protección Civil,Latin America and the Caribbean,El Salvador,SV
Sukiman Nurdin,Universitas Tadulako,East Asia and Pacific,Indonesia,ID
Tamara Cabrera,,Latin America and the Caribbean,Chile,CL
Tuğrul Sezdirmez,Ministry of Environment Urbanization and Climate Change,Europe and Central Asia,Türkiye,TR
Valerio Salvitti,Joint Research Centre (JRC),Global,,